UniprotID	ProteinName	OriginalID	ExperimentID	UniProt	Database	Ratio	Change	originalName	GeneName	Organism	StudyID	Method	Detergent	Details	Method1	Quantitation	MassSpec	Software	TissueID	Stimulous	Agent	ExpShort	Authors	Year	PubmedID	StudyDetails
A2ALJ3	Major histocompatibility complex, class II, DP alpha 1	A2ALJ3	exp118	Yes	UniprotKB	NA	NA	Major histocompatibility complex, class II, DP alpha 1	HLA-DPA1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
A4UCS3	NADH:ubiquinone oxidoreductase SDAP subunit	A4UCS3	exp118	Yes	UniprotKB	NA	NA	NADH:ubiquinone oxidoreductase SDAP subunit	NDUFAB1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
A6NI79	Coiled-coil domain-containing protein 69	A6NI79	exp118	Yes	UniprotKB	NA	NA	Coiled-coil domain-containing protein 69	CCDC69	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
A6NJG9	Putative uncharacterized protein PSME1	A6NJG9	exp118	Yes	UniprotKB	NA	NA	Putative uncharacterized protein PSME1	PSME1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
A6NN80	Annexin A6, isoform CRA_c	A6NN80	exp118	Yes	UniprotKB	NA	NA	Annexin A6, isoform CRA_c	ANXA6	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
A8MUH2	ATP synthase-coupling factor 6, mitochondrial	A8MUH2	exp118	Yes	UniprotKB	NA	NA	ATP synthase-coupling factor 6, mitochondrial	ATP5J	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B0I1T2	Myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2	B0I1T2	exp118	Yes	UniprotKB	NA	NA	Myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2	MYO1G	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B1AH80	Ras-related C3 botulinum toxin substrate 2	B1AH80	exp118	Yes	UniprotKB	NA	NA	Ras-related C3 botulinum toxin substrate 2	RAC2	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B2R4D8	60S ribosomal protein L27	B2R4D8	exp118	Yes	UniprotKB	NA	NA	60S ribosomal protein L27	RPL27	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B2R886	Dendritic cell-derived ubiquitin-like protein, isoform CRA_a	B2R886	exp118	Yes	UniprotKB	NA	NA	Dendritic cell-derived ubiquitin-like protein, isoform CRA_a	UBTD2	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B2RD27	cDNA, FLJ96428, highly similar to Homo sapiens proteasome	B2RD27	exp118	Yes	UniprotKB	NA	NA	cDNA, FLJ96428, highly similar to Homo sapiens proteasome	PSMD7	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B3KPC7	Actin-related protein 2/3 complex subunit 5	B3KPC7	exp118	Yes	UniprotKB	NA	NA	Actin-related protein 2/3 complex subunit 5	ARPC5L	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B3KXV7	Chromosome 10 open reading frame 42, isoform CRA_b	B3KXV7	exp118	Yes	UniprotKB	NA	NA	Chromosome 10 open reading frame 42, isoform CRA_b	CCDC109A	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B4DE32	cDNA FLJ53970, highly similar to ATP-dependent DNA helicase 2 subunit 1	B4DE32	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ53970, highly similar to ATP-dependent DNA helicase 2 subunit 1	XRCC6	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B4DMU8	cDNA FLJ53063, highly similar to Tubulin beta-7 chain	B4DMU8	exp118	Yes	UniprotKB	NA	NA	cDNA FLJ53063, highly similar to Tubulin beta-7 chain	NA	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
B4DNY3	Adenylyl cyclase-associated protein	B4DNY3	exp118	Yes	UniprotKB	NA	NA	Adenylyl cyclase-associated protein	CAP1	Human	std082	DRM	Triton X-100	Proteomic characterization of lipid raft proteome from chronic lymphocytic leukemia cells	Sucrose gradient	NA	LC-MS/MS	Protein Pilot	ID:0000074	NA	NA	Exp118_Alomari_MEC1	Alomari et.al.	2014	http://omicsonline.org/open-access/lipid-raft-proteome-bcell-leukemia-jpb.S7-005.php?aid=24580	Profiling the lipid raft proteome from human MEC1 chronic lymphocytic leukemia cells
