Accession	Gene_name	Protein_name	Original_ID	Entry_name	Experiment_id
Q14254	FLOT2;ESA1;M17S1	Flotillin-2	A53664	Epidermal surface antigen (ESA)	exp001
Q14761	PTPRCAP;LPAP	Protein tyrosine phosphatase receptor type C-associated protein	A55412	Lymphocyte phosphatase-associate phophoprotein	exp001
Q13075	NAIP;BIRC1	Baculoviral IAP repeat-containing protein 1	AAA64504	Neuronal apoptosis inhibitory protein	exp001
P61160	ACTR2;ARP2	Actin-related protein 2	AAB64187	ARP2/3 complex, ARP2 (actin-like protein)	exp001
O14645	DNALI1	Axonemal dynein light intermediate polypeptide 1	AAB69193	Dynein light chain	exp001
O75326	SEMA7A;CD108;SEMAL	Semaphorin-7A	AAC34741	Semaphorin L	exp001
O95425	SVIL	Supervillin	AAC64695	Supervillin	exp001
O75955	FLOT1	Flotillin-1	AAD40192	Flotillin (ESA-family)	exp001
Q9UHA4	LAMTOR3;MAP2K1IP1;MAPKSP1;PRO2783	Ragulator complex protein LAMTOR3	AAF17239	MEK binding partner 1	exp001
Q9UHB6	LIMA1;EPLIN;SREBP3;PP624	LIM domain and actin-binding protein 1	AAF23755	EPLIN beta	exp001
Q9NYL9	TMOD3	Tropomodulin-3	AAF31670	Tropomudulin 3	exp001
Q9Y6X7	KIAA0864	KIAA0864 protein	AB020671	mRNA KIAA0864	exp001
Q53SF7	COBLL1;KIAA0977	Cordon-bleu protein-like 1	AB023194	mRNA KIAA0977	exp001
Q6IAA8	LAMTOR1;C11orf59;PDRO;PP7157	Ragulator complex protein LAMTOR1	AK000632	mRNA unnamed protein product	exp001
O00161	SNAP23	Synaptosomal-associated protein 23	O00161	SNAP-23 (vesicle membrane fusion)	exp001
O00182	LGALS9	Galectin-9	O00182	Galectin 9	exp001
O15144	ARPC2;ARC34;PRO2446	Actin-related protein 2/3 complex subunit 2	O15144	ARP2/3 complex, sub.: 34kDa	exp001
O15509	NA	Actin-related protein 2/3 complex subunit 4	O15509	ARP2/complex, sub.:20kDa	exp001
O15511	ARPC5;ARC16	Actin-related protein 2/3 complex subunit 5	O15511	ARP2/3 complex, sub.: 16kDa	exp001
P02570	ACTB	Actin, cytoplasmic 1	P02570	Actin, beta-actin	exp001
P02571	NA	Actin, cytoplasmic 2	P02571	Actin, gamma-actin	exp001
P02593	NA	Calmodulin-alpha	P02593	Calmodulin	exp001
P03996	ACTA2; ACTSA; ACTVS	Actin, aortic smooth muscle	P03996	Actin A	exp001
P04156	PRNP;PRIP;PRP	Major prion protein	P04156	Prion protein	exp001
P04216	THY1	Thy-1 membrane glycoprotein	P04216	Thy-1 membrane protein	exp001
P04687	NA	Tubulin alpha-1A chain	P04687	Tubulin alpha 1	exp001
P04895	GNAS; GNAS1; GSP	Guanine nucleotide-binding protein G(s) subunit alpha	P04895	Gs alpha	exp001
P04899	GNAI2;GNAI2B	Guanine nucleotide-binding protein G	P04899	Gi alpha2 (common peptides)	exp001
P04901	GNB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	P04901	Gi beta 1 (common peptides)	exp001
P05217	TUBB4B; TUBB2C	Tubulin beta-4B chain	P05217	Tublin beta 2	exp001
P06239	LCK	Tyrosine-protein kinase Lck	P06239	Lck	exp001
P06576	ATP5B;ATPMB;ATPSB	ATP synthase subunit beta, mitochondrial	P06576	ATP synthase beta chain	exp001
P07437	TUBB;TUBB5;OK/SW-cl.56	Tubulin beta chain	P07437	Tublin beta 1	exp001
P07766	CD3E;T3E	T-cell surface glycoprotein CD3 epsilon chain	P07766	CD3 epsilon	exp001
P07900	HSP90AA1;HSP90A;HSPC1;HSPCA	Heat shock protein HSP 90-alpha	P07900	HSP 90	exp001
P08670	VIM	Vimentin	P08670	Vimentin	exp001
P08754	GNAI3	Guanine nucleotide-binding protein G	P08754	Gi alpha3	exp001
P09058	NA	40S ribosomal protein S8	P09058	Ribosomal protein	exp001
P09326	CD48;BCM1;BLAST1	CD48 antigen	P09326	CD48	exp001
P10113	RAP1A; KREV1	Ras-related protein Rap-1A	P10113	RAS related protein RAP-1A	exp001
P11016	GNB2	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	P11016	Gi beta 2	exp001
P11142	HSPA8;HSC70;HSP73;HSPA10	Heat shock cognate 71 kDa protein	P11142	Heat shock cognate prot. Hsc 70	exp001
P14174	MIF;GLIF;MMIF	Macrophage migration inhibitory factor	P14174	Macrophage migration inhibitory protein	exp001
P15154	RAC1; TC25	Ras-related C3 botulinum toxin substrate 1	P15154	RAS related protein RAC1	exp001
P16475	MYL6	Myosin light polypeptide 6	P16475	Myosin light chain alkali	exp001
P19105	MYL12A;MLCB;MRLC3;RLC	Myosin regulatory light chain 12A	P19105	Myosin regulatory light chain	exp001
P20172	NA	AP-2 complex subunit mu	P20172	AP-2, plasma membrane adaptor, sub.: 50 kDa	exp001
P20700	LMNB1;LMN2;LMNB	Lamin-B1	P20700	Lamin B1	exp001
P21281	ATP6V1B2;ATP6B2;VPP3	V-type proton ATPase subunit B, brain isoform	P21281	V-ATP synthase, subunit: B	exp001
P21283	ATP6V1C1;ATP6C;ATP6D;VATC	V-type proton ATPase subunit C 1	P21283	V-ATP synthase, subunit: C	exp001
P21333	FLNA;FLN;FLN1	Filamin-A	P21333	ABP-280 (endothelial actin binding protein)	exp001
P21796	VDAC1;VDAC	Voltage-dependent anion-selective channel protein 1	P21796	Mitochondrial pore protein	exp001
P21851	NA	AP-2 complex subunit beta	P21851	AP-2,plasma membrane adaptor, sub.: beta	exp001
P25763	NA	Cell division control protein 42 homolog	P25763	GTP-binding protein	exp001
P30153	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	P30153	Protein phosphatase pp2a	exp001
P31146	CORO1A;CORO1	Coronin-1A	P31146	Coronin-like protein p57	exp001
P32391	ACTR3; ARP3	Actin-related protein 3	P32391	ARP2/3 complex, ARP (actin-like protein)	exp001
P35232	PHB	Prohibitin	P35232	Prohibitin	exp001
P35579	MYH9	Myosin-9	P35579	Myosin heavy chain nonmuscle, type a	exp001
P38606	ATP6V1A;ATP6A1;ATP6V1A1;VPP2	V-type proton ATPase catalytic subunit A	P38606	V-ATP synthase, subunit: A	exp001
P47756	CAPZB	F-actin-capping protein subunit beta	P47756	CAP-Z, F-actin capping protein,sub.:beta	exp001
P50148	GNAQ;GAQ	Guanine nucleotide-binding protein G	P50148	Gq alpha	exp001
P52907	CAPZA1	F-actin-capping protein subunit alpha-1	P52907	CAP-Z, F-actin capping protein, sub.:alpha 1	exp001
P56159	GFRA1;GDNFRA;RETL1;TRNR1	GDNF family receptor alpha-1	P56159	GDNFR alpha	exp001
Q00610	CLTC;CLH17;CLTCL2;KIAA0034	Clathrin heavy chain 1	Q00610	Clathrin heavy chain 1	exp001
Q01082	SPTBN1;SPTB2	Spectrin beta chain, non-erythrocytic 1	Q01082	Spectrin (Fodrin): beta chain	exp001
Q03252	LMNB2;LMN2	Lamin-B2	Q03252	Lamin B2	exp001
Q13813	SPTAN1;NEAS;SPTA2	Spectrin alpha chain, non-erythrocytic 1	Q13813	Spectrin (Fodrin):alpha chain	exp001
Q14156	EFR3A;KIAA0143	Protein EFR3 homolog A	Q14156	mRNA KIAA0143	exp001
Q14699	RFTN1;KIAA0084;MIG2	Raftlin	Q14699	mRNA KIAA0084, fragment	exp001
Q16643	DBN1;D0S117E	Drebrin	Q16643	Drebrin	exp001
Q14918	NA	Nebulin	S15902	Nebulin	exp001
O35274	Ppp1r9b	Neurabin-2	T03852	Spinophilin (rat isoform), (Neurabin-II)	exp001
NA	NA	NA	AI089291	mRNA EST 563bp	exp002
Q9NPA2	MMP25;MMP20;MMPL1;MT6MMP	Matrix metalloproteinase-25	BAB20584	MT-6-MMP	exp002
P27105	STOM;BND7;EPB72	Erythrocyte band 7 integral membrane protein	AAA58432	Stomatin	exp002
O46385	SVIL	Supervillin	T08878	Supervillin	exp002
Q13813	SPTAN1;NEAS;SPTA2	Spectrin alpha chain, non-erythrocytic 1	NP_003118	alpha-fodrin	exp002
Q01082	SPTBN1;SPTB2	Spectrin beta chain, non-erythrocytic 1	NP_003119	beta-fodrin	exp002
P35579	MYH9	Myosin-9	NP_002464	Myosin-IIA HC	exp002
O43707	ACTN4	Alpha-actinin-4	NP_004915	alpha-actinin 4	exp002
P12814	ACTN1	Alpha-actinin-1	NP_001093	alpha-actinin 1	exp002
O75955	FLOT1	Flotillin-1	NP_005794	Flotillin 1	exp002
