Experiment ID	Author	Year	Pubmed Link	Publication Title	Cell or tissue type	Organism	Biochemical method of raft extraction	Detergent	Experiment Descrition	Quantitative method	Treatment
exp001	van Haller et al.	2001	http://www.ncbi.nlm.nih.gov/pubmed/11683502	Mass spectrometric characterization of proteins extracted from Jurkat T cell detergent-resistant membrane domains	Jurkat T-cell	Human	DRM	Triton X-100	Protein characterization from Jurkat T-cells Detergent Resistant membrane domains	Qualitative	NA
exp002	Nebl et al. 	2002	http://www.ncbi.nlm.nih.gov/pubmed/12202484	Proteomic analysis of a detergent-resistant membrane skeleton from neutrophil plasma membranes	Neutrophils	Bovine	DRM	Triton X-100	Protein characterization from neutrophil detergent resistant membrane domains	Qualitative	NA
exp003	Bini et al. 	2002	http://www.ncbi.nlm.nih.gov/pubmed/12358599	Extensive temporally regulated reorganization of the lipid raft proteome following T-cell antigen receptor triggering	Jurkat T-cell	Human	DRM	Brij-58	Temporal analysis of protein association with lipid rafts following T-cell antigen receptor (TCR) triggering	Qualitative	OKT3
exp004	Li et al. 	2003	http://www.ncbi.nlm.nih.gov/pubmed/12687620	Monocyte lipid rafts contain proteins implicated in vesicular trafficking and phagosome formation	THP-I	Human	DRM	Triton X-100	Protein characterization from monocyte lipid rafts	Qualitative	NA
exp005	Foster et al. 	2003	http://www.ncbi.nlm.nih.gov/pubmed/12724530	Unbiased quantitative proteomics of lipid rafts reveals high specificity for signaling factors	HeLa	Human	pH/carbonate resistance	NA	Protein characterization of pH-resistant lipid rafts from HeLa cells	SILAC	Methyl-beta-cyclodextrin
exp006	Foster et al. 	2003	http://www.ncbi.nlm.nih.gov/pubmed/12724530	Unbiased quantitative proteomics of lipid rafts reveals high specificity for signaling factors	HeLa	Human	DRM	Triton X-100	Protein characterization of detergent resistant lipid rafts from HeLa cells	SILAC	Methyl-beta-cyclodextrin
exp007	Foster et al. 	2003	http://www.ncbi.nlm.nih.gov/pubmed/12724530	Unbiased quantitative proteomics of lipid rafts reveals high specificity for signaling factors	HeLa	Human	DRM	Triton X-100	Protein characterization of detergent resistant lipid rafts from HeLa cells	SILAC	Filipin
exp008	Foster et al. 	2003	http://www.ncbi.nlm.nih.gov/pubmed/12724530	Unbiased quantitative proteomics of lipid rafts reveals high specificity for signaling factors	HeLa	Human	DRM	Triton X-100	Protein characterization of detergent resistant lipid rafts from HeLa cells	SILAC	Nystatin
exp009	van Haller et al. 	2003	http://www.ncbi.nlm.nih.gov/pubmed/12832459	The application of new software tools to quantitative protein profiling via isotope-coded affinity tag (ICAT) and tandem mass spectrometry: II. Evaluation of tandem mass spectrometry methodologies for large-scale protein analysis, and the application of statistical tools for data analysis and interpretation	Jurkat T-cell	Human	DRM	Triton X-100	Protein characterization of T-cell lipid rafts	ICAT	OKT3
exp010	Blonder et al. 	2004	http://www.ncbi.nlm.nih.gov/pubmed/15174053	Proteomic analysis of detergent-resistant membrane rafts	Vero	Monkey	DRM	Triton X-100	Protein characterization of detergent resistant membrane rafts from Vero cells	Qualitative	NA
exp011	Li et al. 	2004	http://www.ncbi.nlm.nih.gov/pubmed/15378691	Lipid raft proteomics: analysis of in-solution digest of sodium dodecyl sulfate-solubilized lipid raft proteins by liquid chromatography-matrix-assisted laser desorption/ionization tandem mass spectrometry	THP-I	Human	DRM	Triton X-100	Protein characterization from monocyte lipid rafts using SDS-aided in-solution digestion	Qualitative	NA
exp012	Bae et al. 	2004	http://www.ncbi.nlm.nih.gov/pubmed/15378739	Lipid raft proteome reveals ATP synthase complex in the cell surface	Liver	Rat	DRM	Triton X-100	Protein characterization of lipid rafts isolated from rat liver	Qualitative	NA
exp013	Sprenger et al.	2004	http://www.ncbi.nlm.nih.gov/pubmed/14730580	Comparative proteomics of human endothelial cell caveolae and rafts using two-dimensional gel electrophoresis and mass spectrometry	HUVEC	Human	DRM	Triton X-100	Proteomics characterization of human endothelial cell caveolae and rafts using cold-detergent method	2DE	NA
exp014	Sprenger et al.	2004	http://www.ncbi.nlm.nih.gov/pubmed/14730580	Comparative proteomics of human endothelial cell caveolae and rafts using two-dimensional gel electrophoresis and mass spectrometry	HUVEC	Human	Cationic silica purification	NA	Proteomics characterization of human endothelial cell caveolae and rafts using cationic silica purification method	2DE	NA
exp015	Murphy et al.	2004	http://www.ncbi.nlm.nih.gov/pubmed/14592818	Erythrocyte detergent-resistant membrane proteins: their characterization and selective uptake during malarial infection	Erythrocyte	Human	DRM	Triton X-100	Protein characterization from erythrocyte detergent-resistant membrane during malarial infection	Qualitative	NA
exp016	Blonder et al. 	2005	http://www.ncbi.nlm.nih.gov/pubmed/15822930	Quantitative profiling of the detergent-resistant membrane proteome of iota-b toxin induced vero cells	Vero	Monkey	DRM	Triton X-100	Comparative proteomics of untreated and iota-b toxin treated Vero cells	18O/16O	Iota-b toxin
exp017	Yu et al. 	2005	http://www.ncbi.nlm.nih.gov/pubmed/15863835	Ceramide displaces cholesterol from lipid rafts and decreases the association of the cholesterol binding protein caveolin-1	S16	Rat	DRM	Triton X-100	Proteomic characterization of ceramide-enriched lipid rafts from Schwann cell after 2 hour bacterial sphingomyelinase exposure	SILAC	Bacterial sphingomyelinase
exp018	Yu et al. 	2005	http://www.ncbi.nlm.nih.gov/pubmed/15863835	Ceramide displaces cholesterol from lipid rafts and decreases the association of the cholesterol binding protein caveolin-1	S16	Rat	DRM	Triton X-100	Proteomic characterization of ceramide-enriched lipid rafts from Schwann cell after 4 hour bacterial sphingomyelinase exposure	SILAC	Bacterial sphingomyelinase
exp019	Yu et al. 	2005	http://www.ncbi.nlm.nih.gov/pubmed/15863835	Ceramide displaces cholesterol from lipid rafts and decreases the association of the cholesterol binding protein caveolin-1	S16	Rat	DRM	Triton X-100	Proteomic characterization of ceramide-enriched lipid rafts from Schwann cell after 8 hour bacterial sphingomyelinase exposure	SILAC	Bacterial sphingomyelinase
exp020	Sleight et al. 	2005	http://www.ncbi.nlm.nih.gov/pubmed/15917346	Isolation and proteomic analysis of mouse sperm detergent-resistant membrane fractions: evidence for dissociation of lipid rafts during capacitation	Sperm cell	Mouse	DRM	Triton X-100	Proteomic characterization of mouse sperm detergent-resistant membrane fractions	Qualitative	NA
exp021	Zheng et al. 	2005	http://www.ncbi.nlm.nih.gov/pubmed/16212424	Simple and robust two-layer matrix/sample preparation method for MALDI MS/MS analysis of peptides	IMR5	Human	DRM	Triton X-100	Proteomic characterization of lipid raft fractions of the IMR5 neuroblastoma cells	Qualitative	NA
exp022	MacLellan et al. 	2005	http://www.ncbi.nlm.nih.gov/pubmed/16267816	A quantitative proteomic analysis of growth factor-induced compositional changes in lipid rafts of human smooth muscle cells	Smooth muscle cell	Human	DRM	Triton X-100	Proteomic characterization of smooth muscle cells after 15 min platelet derived growth factor stimulation	ICAT	Platelet derived growth factor
exp023	MacLellan et al. 	2005	http://www.ncbi.nlm.nih.gov/pubmed/16267816	A quantitative proteomic analysis of growth factor-induced compositional changes in lipid rafts of human smooth muscle cells	Smooth muscle cell	Human	DRM	Triton X-100	Proteomic characterization of smooth muscle cells after 12 hour platelet derived growth factor stimulation	ICAT	Platelet derived growth factor
exp024	Paradela et al. 	2005	http://www.ncbi.nlm.nih.gov/pubmed/16335998	Proteomic analysis of apical microvillous membranes of syncytiotrophoblast cells reveals a high degree of similarity with lipid rafts	Syncytiotrophoblast cell	Human	Detergent Free Method	NA	Proteomic characterization of apical microvillous membranes of syncytiotrophoblast cells	Qualitative	NA
