Uniprot	Exp001_van_Haller_T-cell_Control	Exp003_Bini_T-cell_OKT3	Exp004_Li_THP-I_Control	Exp005_Foster_HeLa_MbCD	Exp006_Foster_HeLa_MbCD	Exp007_Foster_HeLa_Filipin	Exp008_Foster_HeLa_Nystatin	Exp009_van_Haller_T-cell_OKT3	Exp011_Li_THP-I_Control	Exp013_Sprenger_HUVEC_Control	Exp014_Sprenger_HUVEC_Control	Exp015_Murphy_Erythrocyte_Control	Exp021_Zheng_IMR5_Control	Exp022_MacLellan_Smooth_muscle_PDGF	Exp023_MacLellan_Smooth_muscle_PDGF	Exp024_Paradela_Syncytiotrophoblast_Control	Exp032_Martosella_Brain_Control	Exp033_Mannova_Huh7_Control	Exp034_Mannova_Huh7_Control	Exp036_Banfi_Heart_Control	Exp037_Sprenger_HUVEC_Control	Exp038_Elortza_HeLa_PLD	Exp039_McMahon_Fibroblast_Control	Exp040_Feuk-Lagerstedt_Neutrophil_azurophil_granules_Control	Exp042_Kobayashi_T-cell+Raji_CD28	Exp044_Yanagida_HL-60_DMSO	Exp045_Dowling_MDA-MB-435S-F+MDA-MB-435S-F/Taxol-10p4p_Control	Exp047_Behan_Brain_Control	Exp048_Adam_LNCap_Control	Exp049_Adam_LNCap_Control	Exp050_Zeaiter_AGS_Control	Exp051_Zeaiter_AGS_Control	Exp052_Zeaiter_AGS_Control	Exp053_Zeaiter_AGS_Control	Exp054_Baruthio_SBCL2+WM793+WM239A+SK-MEL-28_Control	Exp057_Mellgren_HEK293_Control	Exp064_Boyd_B_Cell+ MCL_Control	Exp067_Staubach_MCF-7_Control	Exp068_Staubach_MCF-7_Control	Exp069_Staubach_MCF-7_Control	Exp071_Thompson_SH-SY5Y_SB415286	Exp072_Behan_Brain_Control	Exp073_Behan_Brain_Control	Exp074_Behan_Brain_Control	Exp077_Larive_Platelets_MbCD	Exp078_Lin_T-cell_CCL20	Exp079_Lin_T-cell_CCL20	Exp083_Solstad_T-cell_Cisplatin	Exp084_Yang_DU145_Control	Exp086_Inder_PC3_Control	Exp094_Caruso_MCF10A+MCF10AT+MCF10ATG3B+MCF10CA1a_Control	Exp097_Raimondo_Kidney_Control	Exp098_Raimondo_Renal_cell_carcinoma_Control	Exp099_Nixon_Sperm_Control	Exp102_Jiang_HeLaS3_Control	Exp103_Arielly_SW480+SW620_Control	Exp104_Gu_Endothelium_Atorvastatin	Exp105_Gu_HUVEC_Atorvastatin	Exp106_Xie_HepG2+HepG2.15_Control	Exp107_Xie_HepG2+HepG2.16_Control	Exp108_Kim_Stem_cell_TGF-beta1	Exp109_Seyfried_Brain_Control	Exp110_Seyfried_Brain_Control	Exp111_Thome_NB4_ODPC	Exp114_Chilla_Endothelial_progenitor_cell_VEGF	Exp116_Moltu_T-cell_Control	Exp117_Yi_MCF-7+MCF-7/ADR_Control
A5YKK6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NMS7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
A6NMY6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
O00116	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
O00161	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0
O00186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
O00217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
O00263	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00264	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1
