Uniprot	Exp012_Bae_Liver_Control	Exp017_Yu_S16_SMase	Exp018_Yu_S16_SMase	Exp019_Yu_S16_SMase	Exp025_Man_RNK-16_Control	Exp026_Man_RNK-16_Control	Exp027_Man_RNK-16_Control	Exp035_Jia_Synaptosome_MbCD	Exp046_Welker_Liver_Control	Exp075_Chintagari_Pneumocyte_Control	Exp080_Ponce_Embryonic_cortical_neuron_Simvastatin	Exp081_Williamson_Embryonic_cortical_neuron_Control	Exp082_Williamson_Embryonic_cortical_neuron_Control	Exp087_Suzuki_Post_synaptic_membrane_Control	Exp100_Hur_Brain_Control	Exp101_Hur_Brain_Control
O08651	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
O08700	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
O08838	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
O08839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
O08957	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
O35095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
O35165	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
O35276	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
O35303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
O35353	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
O35412	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
O35764	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
O54715	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
O54861	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
O54874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
O70377	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
O70601	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
O88600	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
O88761	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
O88778	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
O88871	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
O88917	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P00173	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P00388	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P00406	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
P00507	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
P01830	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1
P01946	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
P02091	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
P02401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
P02688	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1
P02770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
P04157	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
P04166	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P04218	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P04636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
P04642	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
P04764	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0
P04797	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1
P04897	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0
P05065	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
P05508	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P05708	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
P05712	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
P06685	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0
P06686	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
P06687	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1
P06761	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
P06762	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P07153	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0
P07308	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P07323	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
P07335	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
P07687	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P07722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
P07825	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
P07936	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0
P08011	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P08081	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
P08289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
P08413	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P08461	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1
P08753	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0
P09527	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0
P09606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
P09951	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1
P0C169	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P10111	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P10719	0	0	1	1	0	0	0	1	0	1	0	1	1	0	1	1
P10824	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0
P10860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
P10888	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P11167	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
P11240	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P11275	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1
P11442	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1
P11505	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
P11608	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P11730	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
P11951	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P11980	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
P12075	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P12368	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P12369	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
