Accession	Gene_name	Protein_name
B0BMZ1	RGD1305587;RGD1305587_predicted;rCG_22045	Protein RGD1305587
B2GUZ5	Capza1	F-actin-capping protein subunit alpha-1
D3ZD11	Spcs2	Protein Spcs2
D3ZFC5	Atp11c	Protein Atp11c
D3ZFJ6	Lactb;Lactb_predicted;rCG_56678	Lactamase, beta
D3ZFQ8	Cyc1;Cyc1_predicted;rCG_59628	Cytochrome c-1
D3ZG43	Ndufs3;Ndufs3_predicted;rCG_26180	NADH dehydrogenase
D3ZH12	Nosip;Nosip_predicted;rCG_54013	Nitric oxide synthase interacting protein
D3ZHL4	Mageb3;RGD1562343_predicted;rCG_36466	Protein Mageb3
D3ZJZ0	Tmem205;RGD1563250_predicted;rCG_31677	Protein Tmem205
D3ZM21	Comtd1;Comtd1_predicted;rCG_41841	Catechol-O-methyltransferase domain containing 1
D3ZUD8	Tm9sf3	Protein Tm9sf3
D3ZWF5	Eny2;rCG_59696	Transcription and mRNA export factor ENY2
D4A0T0	Ndufb10;rCG_32945	Protein Ndufb10
D4A309	NA	Protein Med1
D4A3V2	Ndufa6;Ndufa6_predicted;rCG_59408	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6
D4AAF4	Olr1553	Olfactory receptor
D4ABZ3	Aatk	Protein Aatk
D4ADS4	Mgst3;rCG_46430	Protein Mgst3
D4AE09	Cyp39a1;Cyp39a1_predicted;rCG_43541	Cytochrome P450, family 39, subfamily a, polypeptide 1
F1LZW6	Slc25a13	Protein Slc25a13
F1M4Z5	NA	Protein Calcoco2
F1MA94	NA	Protein Ank1
O08553	Dpysl2;Crmp2;Ulip2	Dihydropyrimidinase-related protein 2
O08599	Stxbp1	Syntaxin-binding protein 1
O08651	Phgdh	D-3-phosphoglycerate dehydrogenase
O08700	Vps45;Vps45a	Vacuolar protein sorting-associated protein 45
O08838	Amph;Amph1	Amphiphysin
O08839	Bin1;Amph2;Amphl	Myc box-dependent-interacting protein 1
O08875	Dclk1;Cpg16;Dcamkl1	Serine/threonine-protein kinase DCLK1
O08957	Nrn1	Neuritin
O09171	Bhmt	Betaine--homocysteine S-methyltransferase 1
O15164	TRIM24;RNF82;TIF1;TIF1A	Transcription intermediary factor 1-alpha
O35095	Ncdn	Neurochondrin
O35098	Dpysl4;Crmp3;Ulip4	Dihydropyrimidinase-related protein 4
O35136	Ncam2;Ocam;Rncam	Neural cell adhesion molecule 2
O35165	Gosr2;Gs27	Golgi SNAP receptor complex member 2
O35179	Sh3gl2;Sh3d2a;Sh3p4	Endophilin-A1
O35276	Nrp2	Neuropilin-2
O35303	Dnm1l;Dlp1	Dynamin-1-like protein
O35353	Gnb4	Guanine nucleotide-binding protein subunit beta-4
O35359	NA	Guanine nucleotide-binding protein subunit gamma
O35412	Sipa1l1;Spa1	Signal-induced proliferation-associated 1-like protein 1
O35413	Sorbs2;Argbp2	Sorbin and SH3 domain-containing protein 2
O35458	Slc32a1;Vgat;Viaat	Vesicular inhibitory amino acid transporter
O35609	Scamp3	Secretory carrier-associated membrane protein 3
O35737	Hnrnph1;Hnrph;Hnrph1	Heterogeneous nuclear ribonucleoprotein H
O35764	Nptxr;Npr	Neuronal pentraxin receptor
O35867	Ppp1r9a	Neurabin-1
O35963	Rab33b	Ras-related protein Rab-33B
