Accession	Gene_name	Protein_name
O00159	MYO1C	Unconventional myosin-Ic
O00161	SNAP23	Synaptosomal-associated protein 23
O00182	LGALS9	Galectin-9
O00217	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial
O00264	PGRMC1;HPR6.6;PGRMC	Membrane-associated progesterone receptor component 1
O00329	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform
O00483	NDUFA4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4
O00566	MPHOSPH10;MPP10	U3 small nucleolar ribonucleoprotein protein MPP10
O00571	DDX3X;DBX;DDX3	ATP-dependent RNA helicase DDX3X
O14547	PRPF8; PRPC8	Pre-mRNA-processing-splicing factor 8
O14686	KMT2D;ALR;MLL2;MLL4	Histone-lysine N-methyltransferase 2D
O14880	MGST3	Microsomal glutathione S-transferase 3
O14910	LIN7A;MALS1;VELI1	Protein lin-7 homolog A
O14980	XPO1;CRM1	Exportin-1
O15031	PLXNB2;KIAA0315	Plexin-B2
O15035	ZFYVE26; KIAA0321	Zinc finger FYVE domain-containing protein 26
O15083	ERC2;KIAA0378	ERC protein 2
O15121	DEGS1;DES1;MLD;MIG15	Sphingolipid delta
O15142	ACTR2; ARP2	Actin-related protein 2
O15144	ARPC2;ARC34;PRO2446	Actin-related protein 2/3 complex subunit 2
O15153	SLC4A4; NBC; NBC1; NBCE1	Electrogenic sodium bicarbonate cotransporter 1
O15258	RER1	Protein RER1
O15265	ATXN7;SCA7	Ataxin-7
O15269	SPTLC1;LCB1	Serine palmitoyltransferase 1
O15374	SLC16A4;MCT4;MCT5	Monocarboxylate transporter 5
O15398	NMDAR2C	N-methyl-D-aspartate receptor 2C subunit
O15431	SLC31A1;COPT1;CTR1	High affinity copper uptake protein 1
O15438	ABCC3;CMOAT2;MLP2;MRP3	Canalicular multispecific organic anion transporter 2
O15439	ABCC4;MRP4	Multidrug resistance-associated protein 4
O15484	CAPN5;NCL3	Calpain-5
O43148	RNMT;KIAA0398	mRNA cap guanine-N7 methyltransferase
O43242	PSMD3	26S proteasome non-ATPase regulatory subunit 3
O43309	ZSCAN12;KIAA0426;ZNF305;ZNF96	Zinc finger and SCAN domain-containing protein 12
O43432	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3
O43504	LAMTOR5;HBXIP;XIP	Ragulator complex protein LAMTOR5
O43663	PRC1	Protein regulator of cytokinesis 1
O43672	ALYREF; ALY; BEF; THOC4	THO complex subunit 4
O43791	SPOP	Speckle-type POZ protein
O43792	NCOA1; BHLHE74; SRC1	Nuclear receptor coactivator 1
O43795	MYO1B	Unconventional myosin-Ib
O60241	BAI2	Brain-specific angiogenesis inhibitor 2
