Accession	Gene_name	Protein_name
O08532	Cacna2d1;Cacna2	Voltage-dependent calcium channel subunit alpha-2/delta-1
O08917	Flot1	Flotillin-1
O35587	TMED10;TMP21	Transmembrane protein Tmp21
O54724	Ptrf	Polymerase I and transcript release factor
O70377	Snap23	Synaptosomal-associated protein 23
O88384	Vti1b;Vti1l1	Vesicle transport through interaction with t-SNAREs homolog 1B
O88783	F5	Coagulation factor V
P00762	Prss1;Try1	Anionic trypsin-1
P07356	Anxa2;Anx2;Cal1h	Annexin A2
P08712	HSP90B1;GRP94	Endoplasmin
P08752	Gnai2;Gnai-2	Guanine nucleotide-binding protein G
P13596	Ncam1;Ncam	Neural cell adhesion molecule 1
P14869	Rplp0;Arbp	60S acidic ribosomal protein P0
P17426	Ap2a1;Adtaa;Clapa1	AP-2 complex subunit alpha-1
P17809	Slc2a1;Glut-1;Glut1	Solute carrier family 2, facilitated glucose transporter member 1
P17852	ITGA3	Integrin alpha-3
P24369	Ppib	Peptidyl-prolyl cis-trans isomerase B
P25286	Atp6v0a1;Atp6n1;Vpp1	V-type proton ATPase 116 kDa subunit a isoform 1
P30412	Ppic;Cypc	Peptidyl-prolyl cis-trans isomerase C
P30427	Plec;Plec1	Plectin
P32261	Serpinc1;At3	Antithrombin-III
P35293	Rab18	Ras-related protein Rab-18
P38403	GNAI3	Guanine nucleotide-binding protein G
P46735	Myo1b	Unconventional myosin-Ib
P47757	Capzb;Cappb1	F-actin-capping protein subunit beta
P49817	Cav1;Cav	Caveolin-1
P51863	Atp6v0d1;Atp6d	V-type proton ATPase subunit d 1
P51881	Slc25a5;Ant2	ADP/ATP translocase 2
P51909	APOD	Apolipoprotein D
P53994	Rab2a;Rab2	Ras-related protein Rab-2A
P54116	Stom;Epb7.2;Epb72	Erythrocyte band 7 integral membrane protein
P56564	Slc1a3;Eaat1;Gmt1	Excitatory amino acid transporter 1
P57716	Ncstn	Nicastrin
P57746	Atp6v1d;Atp6m;Vatd	V-type proton ATPase subunit D
P61021	Rab5b	Ras-related protein Rab-5B
P61022	Chp1;Chp;Sid470	Calcineurin B homologous protein 1
P61226	Rap2b	Ras-related protein Rap-2b
P62071	Rras2	Ras-related protein R-Ras2
P62204	Calm1;Calm;Cam;Cam1;Calm2;Cam2;Camb;Calm3;Cam3;Camc	Calmodulin
P62629	EEF1A1;EEF1A	Elongation factor 1-alpha 1
