Accession	Gene_name	Protein_name
A0JNU3	Aspg	60 kDa lysophospholipase
A1L314	Mpeg1	Macrophage-expressed gene 1 protein
A2A863-2	Itgb4	Isoform 2 of Integrin beta-4
A2A9T0-2	Tbkbp1	Isoform 2 of TANK-binding kinase 1-binding protein 1
A2ACG7	Rpn2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2
A2AFS3	Kiaa1324	UPF0577 protein KIAA1324
A2AGT5	Ckap5	Cytoskeleton-associated protein 5
A2AJA7	Mamdc4;Aegp;Gm995	Apical endosomal glycoprotein
A2APV2-2	Fmnl2	Isoform 2 of Formin-like protein 2
A2AR26	Slc2a6	Protein Slc2a6
A2ASS6-1	Ttn 	Titin
A2ASS6-2	Ttn	Isoform 2 of Titin
A2CEL1	Mup1;Mup7	Major urinary protein 1
A2RRP1	NBAS;NAG	Neuroblastoma-amplified sequence
A6BLY7	Krt28;Krt25d	Keratin, type I cytoskeletal 28
A6X919-1	Dpy19l1 	Probable C-mannosyltransferase DPY19L1
B2CY77	Rpsa	Laminin receptor
B2RX12	Abcc3;Cmoat2;Mrp3	Canalicular multispecific organic anion transporter 2
B2RX88	Cspp1;Cspp	Centrosome and spindle pole associated protein 1
B2RXS4	Plxnb2	Plexin-B2
B2RXX6	Sptan1;Spna2	Spna2 protein
B2RY56-2	NA	RNA-binding protein 25
B4DDF7	NA	cDNA FLJ53296, highly similar to Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
B4DIN9	NA	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial
B4DKD8	NA	Lysosome membrane protein 2
B4DN41	NA	cDNA FLJ53366, highly similar to Probable ATP-dependent RNA helicase DDX5
B4E391	NA	Elongation factor Ts, mitochondrial
B7ZCS6	NA	Regulator of G-protein signaling 19
D3YYQ0	NA	Protein Gm5451
D3ZE55	Pcdh8	Protocadherin-8
D3ZSA9	Nomo1;RGD1305240_predicted;rCG_53862	Protein Nomo1
D4A8G9	Zfyve26	Zinc finger FYVE domain-containing protein 26
D4ACJ1	LOC100363469	40S ribosomal protein S24
E7EQR6	TCP1	T-complex protein 1 subunit alpha
E9Q070	Gm8730	Uncharacterized protein
E9Q634	Myo1e;Myr3	Unconventional myosin-Ie
F6SVV1	Gm9493	Protein Gm9493
O00116	AGPS;AAG5	Alkyldihydroxyacetonephosphate synthase, peroxisomal
O00410	IPO5;KPNB3;RANBP5	Importin-5
O08532	Cacna2d1;Cacna2	Voltage-dependent calcium channel subunit alpha-2/delta-1
O08532-2	Cacna2d1	Isoform 2B of Voltage-dependent calcium channel subunit alpha-2/delta-1
O08532-3	Cacna2d1	Isoform 2C of Voltage-dependent calcium channel subunit alpha-2/delta-1
O08539-2	Bin1	Isoform 2 of Myc box-dependent-interacting protein 1
O08543-2	Efna5	Isoform Short of Ephrin-A5
O08545	Efna3;Epl3;Eplg3;Lerk3	Ephrin-A3
O08547	Sec22b;Sec22l1	Vesicle-trafficking protein SEC22b
O08553	Dpysl2;Crmp2;Ulip2	Dihydropyrimidinase-related protein 2
O08573-2	Lgals9	Isoform Short of Galectin-9
O08579	Emd;Sta	Emerin
O08583	Alyref;Aly;Ref1;Refbp1;THOC4	THO complex subunit 4
O08583-2	Alyref	Isoform 2 of THO complex subunit 4
O08585	Clta	Clathrin light chain A
O08599	Stxbp1	Syntaxin-binding protein 1
O08599-1	Stxbp1 	Syntaxin-binding protein 1
O08603	Raet1b	Retinoic acid early-inducible protein 1-beta
O08638-2	Myh11	Isoform 2 of Myosin-11
O08651	Phgdh	D-3-phosphoglycerate dehydrogenase
O08662	Pi4ka;Pik4ca	Phosphatidylinositol 4-kinase alpha
O08678	Mark1	Serine/threonine-protein kinase MARK1
O08688	Capn5;Ncl3	Calpain-5
O08709	Prdx6;Aop2;Ltw4;Prdx5	Peroxiredoxin-6
O08734	Bak1;Bak	Bcl-2 homologous antagonist/killer
O08749	Dld	Dihydrolipoyl dehydrogenase, mitochondrial
O08795-1	Prkcsh 	Glucosidase 2 subunit beta
O08810	Eftud2;Snrp116	116 kDa U5 small nuclear ribonucleoprotein component
O08838	Amph;Amph1	Amphiphysin
O08839	Bin1;Amph2;Amphl	Myc box-dependent-interacting protein 1
O08842	Gfra2;Gdnfrb;Trnr2	GDNF family receptor alpha-2
O08900	Ikzf3;Zfpn1a3;Znfn1a3	Zinc finger protein Aiolos
O08912	Galnt1	Polypeptide N-acetylgalactosaminyltransferase 1
O08917	Flot1	Flotillin-1
O08992	Sdcbp	Syntenin-1
O09005	Degs1;Degs;Des1;Mdes	Sphingolipid delta
O09044	Snap23;Sndt	Synaptosomal-associated protein 23
O09111	Ndufb11;Np15	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial
O09117	Sypl1;Pphn;Sypl	Synaptophysin-like protein 1
O09117-2	Sypl1	Isoform 2 of Synaptophysin-like protein 1
O09131	Gsto1;Gstx;Gtsttl	Glutathione S-transferase omega-1
O09165	Casq1	Calsequestrin-1
O14967	CLGN	Calmegin
O15484	CAPN5;NCL3	Calpain-5
O35074	Ptgis;Cyp8	Prostacyclin synthase
O35095	Ncdn	Neurochondrin
O35114	Scarb2	Lysosome membrane protein 2
O35129	Phb2;Bap;Bcap37;Rea	Prohibitin-2
O35136	Ncam2;Ocam;Rncam	Neural cell adhesion molecule 2
O35143	Atpif1;Atpi;If1	ATPase inhibitor, mitochondrial
O35166	Gosr2;Gs27	Golgi SNAP receptor complex member 2
O35295	Purb	Transcriptional activator protein Pur-beta
O35303	Dnm1l;Dlp1	Dynamin-1-like protein
O35316	Slc6a6;Taut	Sodium- and chloride-dependent taurine transporter
O35368-2	Ifi203	Isoform 2 of Interferon-activable protein 203
O35379	Abcc1;Abcc1a;Abcc1b;Mdrap;Mrp	Multidrug resistance-associated protein 1
O35387	Hax1;Hs1bp1	HCLS1-associated protein X-1
O35400-1	Sult2b1 	Sulfotransferase family cytosolic 2B member 1
O35409	Folh1;Mopsm;Naalad1	Glutamate carboxypeptidase 2
O35435	Dhodh	Dihydroorotate dehydrogenase
O35454	Clcn6;Clc6	Chloride transport protein 6
O35465-1	Fkbp8 	Peptidyl-prolyl cis-trans isomerase FKBP8
O35482	NA	Neurofilament heavy polypeptide
O35509	Rab11b	Ras-related protein Rab-11B
O35516-2	Notch2	Isoform 2 of Neurogenic locus notch homolog protein 2
