Accession	Protein_name	Database
IPI00472102	60 kDa heat shock protein, mitochondrial precursor	International Protein Index (IPI)
IPI00385804	Similar to Nucleolin	International Protein Index (IPI)
IPI00215638	ATP-dependent RNA helicase A	International Protein Index (IPI)
IPI00619936	Nuclear mitotic apparatus protein 1	International Protein Index (IPI)
IPI00027499	Splice Isoform 1 of Nucleophosmin	International Protein Index (IPI)
IPI00328343	Spliceosome RNA helicase BAT1	International Protein Index (IPI)
IPI00025054	Splice Isoform Long of Heterogenous nuclear ribonucleoprotein U	International Protein Index (IPI)
IPI00402185	OTTHUMP00000016816	International Protein Index (IPI)
IPI00604664	Molybdopterin oxidoreductase domain containing protein	International Protein Index (IPI)
IPI00604796	Keratin 18 variant	International Protein Index (IPI)
IPI00024638	Creatine kinase, ubiquitous mitochondrial precursor	International Protein Index (IPI)
IPI00163782	Splice Isoform 2 of Far upstream element binding protein 1	International Protein Index (IPI)
IPI00023785	Probable RNA-dependent helicase p72	International Protein Index (IPI)
IPI00063234	PRKAR2A protein	International Protein Index (IPI)
IPI00291165	Hypothetical protein PNPT1	International Protein Index (IPI)
IPI00002459	Annexin VI isoform 2	International Protein Index (IPI)
IPI00025874	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit precursor	International Protein Index (IPI)
IPI00183920	BA395L14.12	International Protein Index (IPI)
IPI00301936	ELAV-like protein 1	International Protein Index (IPI)
IPI00301271	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit precursor	International Protein Index (IPI)
IPI00030907	Alpha-2 catenin	International Protein Index (IPI)
IPI00013214	DNA replication licensing factor MCM3	International Protein Index (IPI)
IPI00009771	Lamin B2	International Protein Index (IPI)
IPI00328840	Transcriptional coactivator; bZIP enhancing factor	International Protein Index (IPI)
IPI00099730	Splicing coactivator subunit SRm300	International Protein Index (IPI)
IPI00216085	Cytochrome c oxidase polypeptide VIb	International Protein Index (IPI)
IPI00011268	RNA binding protein	International Protein Index (IPI)
IPI00550041	Peroxisomal enoyl-coenzyme A hydratase-like protein	International Protein Index (IPI)
IPI00301277	Heat shock 70 kDa protein 1L	International Protein Index (IPI)
IPI00020984	Calnexin precursor	International Protein Index (IPI)
IPI00166768	TUBA6 protein	International Protein Index (IPI)
IPI00217143	SDHA protein	International Protein Index (IPI)
IPI00412545	Hypothetical protein DKFZp781K1356	International Protein Index (IPI)
IPI00334775	Heat shock protein HSP 90-beta	International Protein Index (IPI)
IPI00376503	Pyrroline-5-carboxylate reductase 1 isoform 2	International Protein Index (IPI)
IPI00333558	124 kDa protein	International Protein Index (IPI)
IPI00027500	Transforming protein RhoA	International Protein Index (IPI)
IPI00220991	Splice Isoform 2 of Adapter-related protein complex 2 beta 1 subunit	International Protein Index (IPI)
IPI00464972	Ribosomal protein L3	International Protein Index (IPI)
IPI00074489	NDUFB10 protein	International Protein Index (IPI)
IPI00172580	Nucleoporin 54kDa variant	International Protein Index (IPI)
IPI00022970	Translocated promoter region	International Protein Index (IPI)
IPI00167111	Hypothetical protein DKFZp686L08245	International Protein Index (IPI)
IPI00375511	Ribosomal pRotein L15; 60S Ribosomal pRotein   L15	International Protein Index (IPI)
IPI00180954	Cold-inducible RNA-binding protein	International Protein Index (IPI)
IPI00009841	Splice Isoform EWS of RNA-binding protein EWS	International Protein Index (IPI)
IPI00170436	Hypothetical protein FLJ31346	International Protein Index (IPI)
IPI00027107	Elongation factor Tu, mitochondrial precursor	International Protein Index (IPI)
IPI00029625	Flotillin-2	International Protein Index (IPI)
IPI00465233	DJ1014D13.1 protein	International Protein Index (IPI)
IPI00013896	Lung cancer oncogene 7	International Protein Index (IPI)
IPI00021058	Sodium bicarbonate cotransporter2	International Protein Index (IPI)
IPI00216153	40S ribosomal protein S15	International Protein Index (IPI)
IPI00328748	ARMET protein precursor	International Protein Index (IPI)
IPI00414922	40S ribosomal protein S12	International Protein Index (IPI)
IPI00012066	Poly(rC)-binding Protein 2 isoform b	International Protein Index (IPI)
IPI00002821	60S ribosomal protein L14	International Protein Index (IPI)
IPI00294380	Phosphoenolpyruvate carboxykinase, mitochondrial precursor	International Protein Index (IPI)
IPI00329745	130 kDa leucine-rich protein	International Protein Index (IPI)
IPI00179529	Splice Isoform 1 of Sodium/potassium-transporting ATPase beta-1 chain	International Protein Index (IPI)
IPI00029822	SMARCA4 isoform 2	International Protein Index (IPI)
IPI00328340	Hypothetical protein DKFZp586B1920	International Protein Index (IPI)
IPI00000875	Elongation factor 1-gamma	International Protein Index (IPI)
IPI00455599	Heat shock protein 90Bb	International Protein Index (IPI)
IPI00102885	Transmembrane protein	International Protein Index (IPI)
IPI00012995	Hypothetical protein DKFZp686H1588	International Protein Index (IPI)
IPI00005966	13kDa differentiation-associated protein variant	International Protein Index (IPI)
IPI00176854	PREDICTED: similar to 40S ribosomal protein S26	International Protein Index (IPI)
IPI00066374	Smooth muscle and non-muscle myosin alkali light chain isoform 4	International Protein Index (IPI)
IPI00303954	Similar to Outer membrane cytochrome b	International Protein Index (IPI)
IPI00030940	Superkiller viralicidic activity 2-like 2	International Protein Index (IPI)
IPI00045921	TOB3	International Protein Index (IPI)
IPI00219685	Cell death-regulatory protein GRIM19	International Protein Index (IPI)
IPI00334191	Hypothetical protein EIF3S9	International Protein Index (IPI)
IPI00022585	Splice Isoform 1 of A kinase anchor protein 1, mitochondrial precursor	International Protein Index (IPI)
IPI00305166	Succinate dehydrogenase [ubiquinone] flavoprotein subunit,       mitochondrial precursor	International Protein Index (IPI)
IPI00163644	Oxysterol-binding protein	International Protein Index (IPI)
IPI00028031	Splice Isoform 1 of Acyl-CoA dehydrogenase, very-long-chain       specific, mitochondrial precursor	International Protein Index (IPI)
IPI00374260	PREDICTED: similar to 60S ribosomal protein L10 (QM protein       homolog)	International Protein Index (IPI)
IPI00445114	Hypothetical protein FLJ44603	International Protein Index (IPI)
IPI00647085	Ribosomal protein L5 variant	International Protein Index (IPI)
IPI00030910	GPI-anchored protein p137	International Protein Index (IPI)
IPI00030939	Alpha subunit of GsGTP binding protein	International Protein Index (IPI)
IPI00419263	Peroxisomal 3,2-trans-enoyl-CoA isomerase	International Protein Index (IPI)
IPI00455532	PREDICTED: similar to ribosomal protein S2	International Protein Index (IPI)
IPI00329389	60S ribosomal protein L6	International Protein Index (IPI)
IPI00383460	GRSF1 protein	International Protein Index (IPI)
