Accession	Gene_name	Protein_name
O43707	ACTN4	Alpha-actinin-4
O46385	SVIL	Supervillin
O75955	FLOT1	Flotillin-1
P02699	RHO	Rhodopsin
P04899	GNAI2;GNAI2B	Guanine nucleotide-binding protein G
P11541	PDE6A;PDEA	Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha
P12814	ACTN1	Alpha-actinin-1
P19105	MYL12A;MLCB;MRLC3;RLC	Myosin regulatory light chain 12A
P22226	CATHL1;BAC1	Cathelicidin-1
P23439	PDE6B;PDEB	Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta
P27105	STOM;BND7;EPB72	Erythrocyte band 7 integral membrane protein
P27674	SLC2A1;GLUT-I;GLUT1	Solute carrier family 2, facilitated glucose transporter member 1
P35579	MYH9	Myosin-9
P48616	VIM	Vimentin
P49951	CLTC	Clathrin heavy chain 1
P62879	GNB2	Guanine nucleotide-binding protein G
Q00194	CNGA1;CNCG;CNCG1	cGMP-gated cation channel alpha-1
Q01082	SPTBN1;SPTB2	Spectrin beta chain, non-erythrocytic 1
Q13813	SPTAN1;NEAS;SPTA2	Spectrin alpha chain, non-erythrocytic 1
Q14254	FLOT2;ESA1;M17S1	Flotillin-2
Q9NPA2	MMP25;MMP20;MMPL1;MT6MMP	Matrix metalloproteinase-25
